,City,Latitude,Temperature,Cloudiness,Humidity,Wind Speed,Longitude,Country
0,Sedam,17.18,76.82,100,82,10.54,77.28,IN
1,Saskylakh,71.92,77.95,79,31,12.1,114.08,RU
2,Mahébourg,-20.41,71.6,75,68,13.87,57.7,MU
3,Chifeng,42.27,81.25,0,32,3.06,118.96,CN
4,Hermanus,-34.42,50.0,0,77,10.13,19.23,ZA
5,Qaanaaq,77.48,30.25,0,93,2.62,-69.36,GL
6,Cape Town,-33.93,61.23,0,42,6.93,18.42,ZA
7,Thinadhoo,0.53,84.29,92,76,8.01,72.93,MV
8,Jinchang,38.5,82.29,0,18,11.68,102.17,CN
9,Albany,42.6,74.61,61,85,4.05,-73.97,US
10,Jalu,29.03,72.41,0,32,3.27,21.55,LY
11,Tasiilaq,65.61,41.0,100,86,33.33,-37.64,GL
12,Sitka,57.05,53.6,90,93,8.05,-135.33,US
13,Port Alfred,-33.59,57.99,0,68,9.35,26.89,ZA
14,Xishan,27.67,75.2,90,88,4.47,113.5,CN
15,Darhan,49.49,69.85,97,60,2.06,105.92,MN
16,Ronneby,56.21,60.8,0,77,11.41,15.28,SE
17,Dikson,73.51,32.86,100,99,14.32,80.55,RU
18,Kuruman,-27.45,41.13,0,69,7.72,23.43,ZA
19,Kurumkan,54.3,65.03,0,33,3.6,110.3,RU
20,Kalemie,-5.95,67.42,9,74,1.86,29.19,CD
21,Nikolskoye,59.7,63.64,0,88,2.24,30.79,RU
22,Veseloyarsk,51.28,56.71,100,86,4.63,81.11,RU
23,Eyrarbakki,63.86,46.9,90,71,12.75,-21.15,IS
24,Otradnoye,59.78,63.61,0,88,2.24,30.82,RU
25,Busselton,-33.65,51.26,80,89,5.12,115.33,AU
26,Yangambi,0.81,69.12,100,69,1.1,24.43,CD
27,Kapaa,22.08,80.47,75,74,18.34,-159.32,US
28,Salinópolis,-0.61,78.37,99,86,12.35,-47.36,BR
29,Tagusao,9.19,86.56,72,64,1.05,117.81,PH
30,Jamestown,42.1,70.57,1,49,3.36,-79.24,US
31,Geraldton,-28.77,57.2,0,71,16.11,114.6,AU
32,Khorramshahr,30.44,82.4,0,37,4.7,48.17,IR
33,Jackson,42.42,84.52,1,23,9.17,-122.83,US
34,Chui,-33.7,55.13,80,88,7.31,-53.46,UY
35,Barrow,71.29,44.6,1,70,12.75,-156.79,US
36,Leningradskiy,69.38,45.66,0,59,7.74,178.42,RU
37,Coquimbo,-29.95,53.6,100,81,9.17,-71.34,CL
38,Punta Arenas,-53.15,37.2,100,93,9.17,-70.92,CL
39,Naze,28.37,86.95,75,66,21.92,129.48,JP
40,East London,-33.02,60.51,0,62,10.96,27.91,ZA
41,Jieshi,22.81,85.15,100,78,11.65,115.83,CN
42,Cabo San Lucas,22.89,85.46,5,27,18.34,-109.91,MX
43,Mehamn,71.04,43.09,100,78,24.07,27.85,NO
44,Katobu,-4.94,81.46,77,82,7.99,122.53,ID
45,Bluff,-46.6,46.89,0,68,7.81,168.33,NZ
46,Capitán Bado,-23.27,67.44,3,79,7.29,-55.53,PY
47,Saint George,37.1,88.5,1,10,8.05,-113.58,US
48,Avera,33.19,72.61,90,83,8.05,-82.53,US
49,La Suiza,9.85,69.37,75,100,3.36,-83.61,CR
50,Vaini,-21.2,73.4,90,88,13.87,-175.2,TO
51,Areosa,41.72,56.5,0,87,2.24,-8.86,PT
52,Yellowknife,62.46,68.0,20,34,16.11,-114.35,CA
53,Rikitea,-23.12,73.62,100,91,16.37,-134.97,PF
54,Yangi Marg`ilon,40.43,66.2,0,37,2.24,71.72,UZ
55,Caborca,30.58,91.0,0,11,4.0,-111.1,MX
56,Kiryat Gat,31.61,67.46,38,82,6.49,34.76,IL
57,Upernavik,72.79,35.4,0,85,10.58,-56.15,GL
58,Hilo,19.73,77.25,40,54,6.93,-155.09,US
59,Nara,34.69,67.3,75,94,1.12,135.8,JP
60,Bathsheba,13.22,82.4,20,78,19.46,-59.52,BB
61,Fort-Shevchenko,44.51,81.66,16,33,19.6,50.26,KZ
62,Hasaki,35.73,66.4,75,100,11.41,140.83,JP
63,Fairbanks,64.84,74.7,75,27,3.36,-147.72,US
64,Narsaq,60.92,41.0,99,79,2.24,-46.05,GL
65,Mungaoli,24.42,87.8,95,60,17.63,78.1,IN
66,Port Elizabeth,-33.92,50.0,0,71,4.7,25.57,ZA
67,Beidao,34.57,75.87,100,50,5.55,105.89,CN
68,Lebu,-37.62,53.58,67,86,11.32,-73.65,CL
69,Havøysund,71.0,41.0,75,93,27.51,24.66,NO
70,Dolores,-36.31,50.52,18,63,7.27,-57.68,AR
71,Lavrentiya,65.58,54.34,94,57,2.08,-171.0,RU
72,Somerset East,-32.72,49.59,0,49,7.4,25.59,ZA
73,Ushuaia,-54.8,33.8,41,74,2.24,-68.3,AR
74,Puerto Ayora,-0.74,71.01,88,88,1.99,-90.35,EC
75,Huangyan,28.65,75.99,100,92,4.05,121.26,CN
76,Rome,43.21,66.27,1,88,3.36,-75.46,US
77,Mataura,-46.19,46.62,0,68,5.28,168.86,NZ
78,Nemuro,43.32,55.4,75,100,5.82,145.57,JP
79,Bredasdorp,-34.53,59.0,0,47,6.46,20.04,ZA
80,Coruripe,-10.13,74.19,10,82,10.45,-36.18,BR
81,Ālangudi,10.36,84.2,20,62,6.93,78.98,IN
82,Hong Kong,22.29,87.84,66,66,10.0,114.16,HK
83,Otjiwarongo,-20.46,47.35,0,54,13.69,16.65,NA
84,Teya,60.38,68.79,100,39,10.07,92.63,RU
85,Avarua,-21.21,75.2,87,64,12.75,-159.78,CK
86,Mt. Pleasant,32.79,75.04,40,94,5.82,-79.86,US
87,Severo-Kuril'sk,50.68,44.17,98,85,12.55,156.12,RU
88,Pong,19.15,77.0,90,94,6.93,100.28,TH
89,Cidreira,-30.18,66.94,25,95,7.76,-50.21,BR
90,Tiksi,71.69,55.83,100,66,2.64,128.87,RU
91,Batemans Bay,-35.72,64.0,55,64,4.36,150.18,AU
92,Ha Tinh,18.33,89.31,49,57,2.68,105.9,VN
93,New Norfolk,-42.78,45.79,100,83,1.86,147.06,AU
94,Neiafu,-18.65,78.8,20,65,9.17,-173.98,TO
95,Ahipara,-35.17,57.51,17,62,11.36,173.17,NZ
96,Port Hawkesbury,45.62,67.84,1,44,11.41,-61.35,CA
97,Matagami,49.75,82.4,1,30,5.82,-77.63,CA
98,Boone,39.03,78.19,100,59,3.0,-92.33,US
99,Luau,-10.71,51.04,17,67,3.71,22.22,AO
100,Lompoc,34.64,66.27,1,72,11.41,-120.46,US
101,Valentín Gómez Farías,28.22,89.01,94,21,10.0,-106.58,MX
102,Ouagadougou,12.36,78.8,100,83,8.05,-1.54,BF
103,San Patricio,19.22,82.4,5,78,11.41,-104.7,MX
104,Plettenberg Bay,-34.05,63.81,0,42,11.12,23.37,ZA
105,Pundaguitan,6.37,83.34,14,74,4.72,126.17,PH
