,City,Latitude,Temperature,Cloudiness,Humidity,Wind Speed
0,Nioro,13.35,102.15,14,23,8.88
1,Gondanglegi,-7.75,75.87,3,86,4.36
2,Albany,42.6,68.63,20,38,3.0
3,Houma,29.6,86.94,75,62,12.75
4,Zhangaözen,43.3,89.1,0,12,10.71
5,Rikitea,-23.12,75.76,0,81,18.16
6,Shimoda,34.67,73.0,100,84,1.99
7,Mount Isa,-20.73,62.6,0,39,11.41
8,Benghazi,32.12,78.24,0,44,13.89
9,Vestmanna,62.16,50.0,80,87,14.99
10,Erzin,36.96,72.0,63,76,3.0
11,Orlik,52.52,48.4,2,75,1.86
12,Hualmay,-11.1,68.18,43,68,8.01
13,Nísia Floresta,-6.09,82.4,40,78,5.82
14,Hermanus,-34.42,55.0,100,96,4.7
15,Kaitangata,-46.28,42.01,99,68,3.0
16,Mahébourg,-20.41,71.6,20,83,9.17
17,Port Alfred,-33.59,60.01,18,84,1.01
18,Saint-Pierre,-21.34,66.49,75,56,11.41
19,Cape Town,-33.93,57.43,75,93,6.93
20,Seydi,39.48,89.91,0,12,8.03
21,Trois-Rivières,46.35,67.05,40,28,8.05
22,Punta Arenas,-53.15,35.29,90,93,13.87
23,Fortuna,40.6,66.83,20,68,11.41
24,Guangming,45.33,60.85,99,62,14.36
25,Salalah,17.02,86.0,90,84,6.93
26,Yokadouma,3.52,72.07,53,90,0.83
27,Ilulissat,69.22,35.6,100,80,10.29
28,São Sebastião,-23.76,67.33,100,87,6.85
29,Orthez,43.49,66.2,90,72,10.29
30,Laplace,30.07,84.72,11,68,1.01
31,Klaksvík,62.23,50.0,66,87,14.99
32,Ushuaia,-54.8,33.8,40,74,6.93
33,Batticaloa,7.71,82.92,100,78,3.09
34,Alice Springs,-23.7,49.5,22,75,3.36
35,Port Elizabeth,-33.92,60.8,0,51,6.93
36,Mel'nikovo,56.56,52.0,10,63,5.5
37,Qaanaaq,77.48,41.85,0,71,5.14
38,Mīāndoāb,36.97,71.6,0,26,4.09
39,Arraial do Cabo,-22.97,73.4,90,83,10.29
40,East London,-33.02,61.07,100,30,5.64
41,Zhigansk,66.77,48.74,19,80,10.65
42,Lavrentiya,65.58,48.88,99,66,4.45
43,Saskylakh,71.92,48.72,62,57,7.92
44,George Town,5.41,81.34,20,78,3.36
45,Shubarshi,48.59,58.71,69,56,24.38
46,Busselton,-33.65,53.53,89,67,10.22
47,Codrington,-38.27,54.25,94,91,13.44
48,Avarua,-21.21,69.8,75,56,4.7
